iter	RMSE
0	0.2434344201
1	0.243048218
2	0.2426810381
3	0.2421437268
4	0.2416211099
5	0.2409577657
6	0.2401589533
7	0.2401096297
8	0.2394566315
9	0.2388232929
10	0.2386868285
11	0.2381746433
12	0.237466012
13	0.2369074117
14	0.2364293018
15	0.2358961313
16	0.2352748694
17	0.2346972849
18	0.2341791054
19	0.2336563978
20	0.2331660953
21	0.2326355176
22	0.2323911259
23	0.2321836531
24	0.2317799626
25	0.2313526558
26	0.2309278053
27	0.2305536966
28	0.2300537797
29	0.2297137592
30	0.2292651696
31	0.2288243728
32	0.2286050906
33	0.2280744425
34	0.2280647387
35	0.2277117935
36	0.2276540388
37	0.2274191775
38	0.2269160608
39	0.2266233668
40	0.2262078305
41	0.2257394355
42	0.2254659455
43	0.2252300785
44	0.2250246392
45	0.2246903205
46	0.2243726104
47	0.2239963559
48	0.2236935686
49	0.2233459655
50	0.2231252859
51	0.2228225241
52	0.2224133937
53	0.2222000683
54	0.2218242947
55	0.2216355311
56	0.2213969206
57	0.2209839891
58	0.2205899322
59	0.2202788122
60	0.2200516104
61	0.2196782466
62	0.2194119314
63	0.2190919214
64	0.2187983696
65	0.21848911
66	0.2180618002
67	0.217658379
68	0.2174475734
69	0.2172283198
70	0.2168644918
71	0.2165422482
72	0.2161445548
73	0.2158334544
74	0.2155783078
75	0.2154386732
76	0.215256802
77	0.2149562301
78	0.2147056393
79	0.2144043798
80	0.2142379892
81	0.2140242774
82	0.2136070681
83	0.2133339617
84	0.2130198632
85	0.2128323225
86	0.212473764
87	0.2123104004
88	0.212147523
89	0.2118067821
90	0.2115390695
91	0.2115071156
92	0.2111669155
93	0.2109469878
94	0.2106635188
95	0.2103989629
96	0.2101372783
97	0.2098268985
98	0.2096871379
99	0.2095455156
100	0.2093693268
101	0.2090736645
102	0.2087403007
103	0.2084982961
104	0.2081605541
105	0.2079994182
106	0.2077867954
107	0.2075888098
108	0.2072577172
109	0.2071589284
110	0.2069811671
111	0.2066930778
112	0.2065212651
113	0.2062018608
114	0.2060026718
115	0.2058531359
116	0.2055886619
117	0.2051143232
118	0.2049096409
119	0.2048576892
120	0.2045331587
121	0.2043438669
122	0.2040911539
123	0.2038633069
124	0.2036179562
125	0.2032779409
126	0.2031245395
127	0.2029847202
128	0.2027779167
129	0.2025012547
130	0.2023455565
131	0.2020346813
132	0.2017682709
133	0.2016518758
134	0.2013572209
135	0.2009053493
136	0.2006958992
137	0.2005378809
138	0.2002697987
139	0.2000965209
140	0.199890198
141	0.1996647379
142	0.1994045542
143	0.1991982607
144	0.1988688571
145	0.1986197164
146	0.1982905
147	0.1980312249
148	0.1977849086
149	0.197626729
150	0.1974747913
151	0.1973205022
152	0.1973203999
153	0.1970726125
154	0.1968601177
155	0.1966170646
156	0.1964598028
157	0.1963582894
158	0.1959836442
159	0.1957325364
160	0.1955636661
161	0.1954344141
162	0.1951217735
163	0.1949765994
164	0.1947180572
165	0.1945399617
166	0.1944528927
167	0.1942534026
168	0.1940314368
169	0.1939691119
170	0.1937877469
171	0.1936318284
172	0.1934793562
173	0.1933206858
174	0.193098086
175	0.1930049375
176	0.1928432958
177	0.1927115563
178	0.1925338326
179	0.1922505554
180	0.1920201693
181	0.1918977128
182	0.1916074354
183	0.1915295098
184	0.1913354624
185	0.1911402861
186	0.1909954804
187	0.1909269297
188	0.1908096711
189	0.1905652496
190	0.1903634201
191	0.1903155056
192	0.1901564491
193	0.1899682559
194	0.1899069887
195	0.1896500393
196	0.1894990417
197	0.1893613088
198	0.189293331
199	0.1890901419
200	0.1890136767
201	0.1889160594
202	0.1888607129
203	0.1888017585
204	0.1887137086
205	0.1886362035
206	0.1884327754
207	0.1884156923
208	0.1882911752
209	0.1882320276
210	0.1881150272
211	0.1879526394
212	0.1879035924
213	0.1877465391
214	0.1876790646
215	0.1874755415
216	0.1873432974
217	0.1872228191
218	0.1871510697
219	0.1869394321
220	0.1866821666
221	0.1865844942
222	0.1864778473
223	0.1861700943
224	0.1861288833
225	0.1859567249
226	0.1857150272
227	0.1855866674
228	0.1854298394
229	0.1852975628
230	0.1852731869
231	0.1852240941
232	0.1851594291
233	0.1851190865
234	0.1849755027
235	0.1849086402
236	0.1847614152
237	0.1846872426
238	0.1846382874
239	0.1845399367
240	0.1845130021
241	0.1843850269
242	0.1843602106
243	0.1841669655
244	0.1841461476
245	0.1840014403
246	0.1838134476
247	0.1835107176
248	0.1834900762
249	0.1833538519
250	0.1832856144
251	0.1831607423
252	0.18313893
253	0.1830493284
254	0.1830268931
255	0.1828695104
256	0.1827423969
257	0.1827220509
258	0.182638132
259	0.1825512506
260	0.1823758105
261	0.182266801
262	0.1822276839
263	0.1820112672
264	0.1817857975
265	0.1816395059
266	0.1816210308
267	0.1815021995
268	0.1813969655
269	0.1813750371
270	0.1811008306
271	0.1809763776
272	0.180884659
273	0.1808267251
274	0.1807032523
275	0.1805863549
276	0.1805300499
277	0.1803894882
278	0.1802610115
279	0.1802431377
280	0.180121589
281	0.1799783357
282	0.1798633488
283	0.1796876209
284	0.1796248391
285	0.1794953468
286	0.1794267841
287	0.1792561209
288	0.1791025845
289	0.1790606613
290	0.1789871389
291	0.178827333
292	0.1788108818
293	0.1787084854
294	0.1785761069
295	0.1784285822
296	0.1783602268
297	0.1782396274
298	0.1781096612
299	0.1780464041
300	0.1779251589
301	0.1779090989
302	0.1777646825
303	0.1775721131
304	0.1775137128
305	0.1774980236
306	0.1774843279
307	0.1774235857
308	0.177197416
309	0.1770235996
310	0.1769334897
311	0.176752456
312	0.1767095343
313	0.1766959761
314	0.1766070787
315	0.1763956824
316	0.1762795081
317	0.1762655617
318	0.1762345641
319	0.1761256181
320	0.1758750607
321	0.1757807164
322	0.1756910159
323	0.1755908519
324	0.1754650693
325	0.1753537617
326	0.175287234
327	0.1751945136
328	0.1751410948
329	0.1749435478
330	0.1748049512
331	0.1746877385
332	0.1745979315
333	0.1745183591
334	0.1744001965
335	0.174300157
336	0.1742246873
337	0.1741306583
338	0.173989744
339	0.1738999764
340	0.1737869117
341	0.1736585626
342	0.1736030441
343	0.1734409988
344	0.1733139128
345	0.1731734336
346	0.1730435177
347	0.1729604422
348	0.1728247145
349	0.1727125613
350	0.1726985343
351	0.1725938974
352	0.1723481849
353	0.1723157204
354	0.1721557382
355	0.1720886627
356	0.1719349489
357	0.1717567318
358	0.171695058
359	0.1716525472
360	0.1714832746
361	0.1714353741
362	0.1713751435
363	0.1713626965
364	0.1712743986
365	0.1711647781
366	0.1709978246
367	0.1709071389
368	0.1708600114
369	0.1708530822
370	0.1707646989
371	0.1706761341
372	0.1706123594
373	0.1705127718
374	0.1704900734
375	0.1703072447
376	0.1700692027
377	0.1698085741
378	0.1698018602
379	0.1697285384
380	0.1696607058
381	0.1696032478
382	0.1694356991
383	0.1693136743
384	0.169151865
385	0.1690639956
386	0.1689731683
387	0.1687548431
388	0.1686856635
389	0.1685325104
390	0.1683523139
391	0.1682529983
392	0.1681347625
393	0.167903328
394	0.1675882033
395	0.1674777672
396	0.1674334788
397	0.167270216
398	0.1672163614
399	0.1671152535
400	0.1670943117
401	0.167009109
402	0.1670013244
403	0.1668639419
404	0.1667940405
405	0.1667157602
406	0.1666771298
407	0.1665768207
408	0.1663990957
409	0.1663903763
410	0.1663440087
411	0.1661931962
412	0.1660989063
413	0.1660072793
414	0.1659005721
415	0.1658901398
416	0.1658318547
417	0.1657910341
418	0.1657163774
419	0.1655987137
420	0.1655323472
421	0.1654565475
422	0.1652867667
423	0.1651140339
424	0.1650126176
425	0.1647985668
426	0.1646714874
427	0.1646631235
428	0.1645154737
429	0.1644026981
430	0.1643123629
431	0.164248598
432	0.1641181603
433	0.1639713305
434	0.1638931284
435	0.1637986534
436	0.163704566
437	0.1636349297
438	0.1635587403
439	0.1634166025
440	0.16332368
441	0.1631902201
442	0.163056064
443	0.1629697196
444	0.1628234229
445	0.1628112071
446	0.1627089662
447	0.162578084
448	0.1625058886
449	0.1623762557
450	0.1622676332
451	0.1622376189
452	0.1621276698
453	0.1620648318
454	0.1619593118
455	0.161860424
456	0.1617137348
457	0.1616934601
458	0.1615545237
459	0.1613924924
460	0.1612036823
461	0.1610863292
462	0.1609826983
463	0.1609615384
464	0.1607766038
465	0.1607576869
466	0.1606483219
467	0.160465484
468	0.1603670685
469	0.1600934135
470	0.1600241901
471	0.1598331199
472	0.1597207374
473	0.1596568563
474	0.1594770325
475	0.1594298672
476	0.1593210711
477	0.159210801
478	0.1591416729
479	0.1589717988
480	0.1587831605
481	0.1587765696
482	0.1587003638
483	0.1586951828
484	0.1586524284
485	0.1585746926
486	0.1584378483
487	0.1584253767
488	0.1583497455
489	0.1582682893
490	0.1581604161
491	0.1580839927
492	0.1580659404
493	0.1580161797
494	0.1579509351
495	0.1579302921
496	0.1578546818
497	0.1577623621
498	0.1577065881
499	0.1576556049
500	0.1576223351
501	0.1575484398
502	0.157431571
503	0.1573447391
504	0.1572691663
505	0.1571398957
506	0.1570854496
507	0.1570140738
508	0.1568134231
509	0.1567629493
510	0.1566853933
511	0.1565344869
512	0.1564655708
513	0.156430595
514	0.1563219148
515	0.1562493301
516	0.1562058839
517	0.1561711557
518	0.1560728502
519	0.1558631291
520	0.1557851128
521	0.1556139586
522	0.1555323536
523	0.1555022114
524	0.1554131075
525	0.155302274
526	0.1552396934
527	0.155190391
528	0.1551450928
529	0.155060232
530	0.1550097489
531	0.1549612279
532	0.1548532971
533	0.154785622
534	0.1547159496
535	0.1546393276
536	0.1545915605
537	0.1544998883
538	0.1543840138
539	0.1542894907
540	0.1542299712
541	0.1541067711
542	0.1540451535
543	0.1539751578
544	0.1538698583
545	0.1537385215
546	0.153688265
547	0.1535932135
548	0.1535185898
549	0.1534587761
550	0.1534230208
551	0.153352666
552	0.153210667
553	0.1531672374
554	0.1531094702
555	0.1529673618
556	0.1529024121
557	0.15288648
558	0.1527809138
559	0.1527050606
560	0.1526161348
561	0.1525621585
562	0.1524366897
563	0.1522767491
564	0.1522304897
565	0.1520372899
566	0.1518352954
567	0.1517215558
568	0.1516462942
569	0.151602924
570	0.1514862799
571	0.1514315746
572	0.1513278194
573	0.1512713138
574	0.151216147
575	0.1511718727
576	0.1510825463
577	0.1510474283
578	0.150950349
579	0.1508575146
580	0.1507407001
581	0.150557958
582	0.1503538227
583	0.1501945771
584	0.1500899635
585	0.1500801622
586	0.1500495355
587	0.150000868
588	0.1499431009
589	0.1497677199
590	0.1496973396
591	0.1495438392
592	0.1494943952
593	0.1494902736
594	0.1494579064
595	0.1493005301
596	0.1492711979
597	0.1491972734
598	0.1490991339
599	0.1490714875
600	0.1490031057
601	0.1489227278
602	0.1488434964
603	0.1487599747
604	0.1486702715
605	0.1485786806
606	0.1485126764
607	0.1484428262
608	0.1483852727
609	0.1482686815
610	0.148121498
611	0.1479953522
612	0.147950615
613	0.1478131519
614	0.1477442117
615	0.1477310456
