iter	Passed	Remaining
0	179	179440
1	184	92150
2	190	63391
3	195	48663
4	199	39695
5	204	33905
6	208	29599
7	210	26075
8	214	23615
9	218	21612
10	220	19793
11	223	18401
12	226	17166
13	228	16094
14	231	15171
15	233	14368
16	235	13630
17	237	12972
18	239	12381
19	241	11839
20	243	11341
21	244	10889
22	246	10477
23	248	10115
24	250	9758
25	251	9424
26	253	9121
27	254	8837
28	256	8572
29	257	8326
30	258	8090
31	260	7869
32	261	7662
33	262	7467
34	263	7259
35	264	7089
36	265	6905
37	266	6750
38	267	6603
39	269	6463
40	270	6331
41	272	6205
42	273	6085
43	274	5970
44	276	5862
45	277	5757
46	279	5657
47	280	5562
48	281	5470
49	283	5382
50	284	5296
51	286	5214
52	287	5136
53	288	5060
54	290	4986
55	291	4909
56	292	4841
57	294	4775
58	295	4713
59	296	4652
60	298	4592
61	299	4534
62	301	4480
63	302	4426
64	304	4373
65	305	4322
66	306	4271
67	308	4223
68	309	4176
69	311	4134
70	312	4089
71	313	4045
72	315	4003
73	316	3963
74	318	3923
75	319	3884
76	320	3846
77	322	3810
78	323	3774
79	325	3738
80	326	3707
81	328	3674
82	329	3641
83	330	3609
84	332	3578
85	333	3548
86	335	3518
87	336	3488
88	338	3460
89	339	3432
90	341	3406
91	341	3374
92	343	3348
93	344	3322
94	346	3297
95	347	3272
96	348	3248
97	350	3224
98	351	3200
99	353	3178
100	354	3154
101	355	3132
102	357	3113
103	358	3091
104	360	3070
105	361	3050
106	363	3029
107	364	3010
108	365	2991
109	367	2972
110	368	2954
111	370	2936
112	371	2917
113	373	2900
114	374	2881
115	375	2862
116	376	2844
117	378	2826
118	379	2810
119	380	2788
120	381	2771
121	382	2755
122	384	2739
123	385	2722
124	386	2706
125	387	2690
126	389	2675
127	390	2659
128	391	2644
129	392	2628
130	394	2613
131	395	2599
132	396	2586
133	398	2573
134	399	2560
135	400	2547
136	402	2533
137	403	2521
138	404	2507
139	406	2494
140	407	2481
141	408	2468
142	409	2455
143	410	2442
144	412	2429
145	413	2416
146	414	2404
147	415	2392
148	416	2380
149	417	2368
150	419	2358
151	420	2346
152	421	2331
153	422	2319
154	423	2311
155	425	2300
156	426	2289
157	427	2278
158	428	2267
159	429	2256
160	431	2246
161	432	2236
162	433	2225
163	434	2216
164	436	2206
165	437	2196
166	438	2186
167	439	2177
168	440	2167
169	441	2157
170	443	2148
171	444	2138
172	445	2129
173	446	2120
174	447	2111
175	449	2102
176	450	2094
177	451	2085
178	453	2077
179	454	2069
180	455	2060
181	456	2052
182	457	2043
183	458	2035
184	460	2026
185	461	2018
186	462	2010
187	463	2002
188	464	1994
189	466	1987
190	467	1979
191	468	1972
192	469	1964
193	470	1956
194	472	1948
195	473	1941
196	474	1934
197	475	1926
198	477	1920
199	478	1913
200	479	1905
201	480	1899
202	482	1892
203	483	1886
204	484	1878
205	485	1871
206	486	1865
207	488	1858
208	489	1851
209	490	1844
210	491	1837
211	492	1830
212	493	1824
213	495	1818
214	496	1812
215	497	1806
216	498	1800
217	500	1794
218	501	1787
219	502	1781
220	503	1775
221	504	1768
222	505	1762
223	507	1756
224	508	1750
225	509	1745
226	510	1739
227	512	1734
228	513	1728
229	514	1723
230	515	1717
231	516	1711
232	518	1705
233	519	1699
234	520	1694
235	521	1688
236	522	1683
237	523	1677
238	525	1671
239	526	1666
240	528	1663
241	529	1658
242	530	1653
243	532	1648
244	533	1643
245	534	1638
246	535	1633
247	536	1628
248	538	1623
249	539	1617
250	540	1612
251	541	1607
252	543	1603
253	544	1598
254	545	1593
255	546	1589
256	547	1584
257	549	1579
258	550	1574
259	551	1569
260	552	1564
261	553	1559
262	554	1554
263	556	1550
264	557	1545
265	558	1541
266	559	1536
267	560	1532
268	562	1527
269	563	1522
270	564	1518
271	565	1513
272	566	1508
273	567	1504
274	568	1500
275	570	1495
276	571	1491
277	572	1487
278	573	1483
279	575	1479
280	576	1474
281	577	1470
282	578	1466
283	579	1462
284	581	1457
285	582	1453
286	583	1449
287	584	1445
288	586	1441
289	587	1438
290	588	1434
291	590	1431
292	591	1427
293	593	1424
294	594	1420
295	595	1417
296	597	1413
297	598	1409
298	599	1406
299	601	1403
300	602	1399
301	603	1395
302	605	1392
303	606	1389
304	608	1386
305	609	1382
306	610	1378
307	612	1375
308	613	1371
309	614	1368
310	616	1365
311	617	1361
312	618	1358
313	620	1355
314	621	1352
315	623	1348
316	624	1345
317	625	1342
318	627	1339
319	628	1335
320	630	1332
321	631	1329
322	632	1326
323	634	1323
324	635	1319
325	637	1317
326	638	1314
327	639	1311
328	641	1307
329	642	1304
330	644	1301
331	645	1298
332	646	1295
333	648	1292
334	649	1289
335	650	1286
336	652	1283
337	653	1280
338	655	1277
339	656	1274
340	657	1271
341	659	1267
342	660	1264
343	661	1261
344	662	1258
345	664	1255
346	665	1252
347	667	1249
348	668	1247
349	669	1244
350	671	1241
351	672	1238
352	674	1235
353	675	1232
354	676	1229
355	678	1226
356	679	1223
357	680	1220
358	682	1218
359	683	1215
360	685	1212
361	686	1209
362	687	1207
363	689	1204
364	690	1201
365	692	1198
366	693	1196
367	694	1193
368	696	1190
369	697	1187
370	699	1185
371	700	1182
372	701	1179
373	703	1177
374	704	1174
375	705	1171
376	707	1168
377	708	1166
378	710	1163
379	711	1160
380	712	1158
381	714	1155
382	715	1153
383	717	1150
384	718	1147
385	720	1145
386	721	1142
387	722	1140
388	724	1137
389	725	1134
390	726	1131
391	727	1128
392	729	1126
393	730	1124
394	732	1122
395	734	1119
396	735	1117
397	736	1114
398	738	1112
399	739	1109
400	741	1107
401	742	1105
402	744	1103
403	746	1100
404	747	1098
405	749	1096
406	751	1094
407	752	1092
408	754	1090
409	756	1088
410	758	1086
411	761	1087
412	763	1085
413	765	1083
414	767	1081
415	768	1079
416	770	1077
417	772	1075
418	777	1078
419	779	1076
420	781	1074
421	782	1072
422	784	1070
423	785	1067
424	787	1065
425	789	1063
426	790	1061
427	792	1058
428	793	1056
429	795	1053
430	796	1051
431	798	1049
432	799	1047
433	801	1044
434	802	1042
435	804	1040
436	806	1038
437	807	1036
438	809	1034
439	811	1032
440	812	1030
441	814	1028
442	816	1026
443	817	1023
444	819	1021
445	822	1021
446	826	1022
447	828	1020
448	829	1017
449	831	1015
450	832	1013
451	834	1011
452	836	1009
453	837	1007
454	839	1005
455	841	1003
456	842	1001
457	844	998
458	845	996
459	847	994
460	848	992
461	850	990
462	852	988
463	853	986
464	855	984
465	857	983
466	859	981
467	861	979
468	863	977
469	865	975
470	866	973
471	868	971
472	869	969
473	871	966
474	872	964
475	874	962
476	875	960
477	877	958
478	879	956
479	880	954
480	882	951
481	883	949
482	885	947
483	886	945
484	888	943
485	890	942
486	892	939
487	893	937
488	895	935
489	896	933
490	899	932
491	905	934
492	907	933
493	910	932
494	912	931
495	914	929
496	916	927
497	917	925
498	919	922
499	920	920
500	921	918
501	923	915
502	924	913
503	925	911
504	927	908
505	928	906
506	929	904
507	931	902
508	932	899
509	933	897
510	935	895
511	936	893
512	938	890
513	939	888
514	941	886
515	942	884
516	944	882
517	945	879
518	946	877
519	948	875
520	949	873
521	951	870
522	952	868
523	953	866
524	954	863
525	955	861
526	957	859
527	958	856
528	959	854
529	961	852
530	962	849
531	963	847
532	964	845
533	965	842
534	966	840
535	968	838
536	969	835
537	970	833
538	971	831
539	972	828
540	974	826
541	975	824
542	976	822
543	977	819
544	979	817
545	980	815
546	981	813
547	982	810
548	984	808
549	985	806
550	986	803
551	987	801
552	988	799
553	990	797
554	992	795
555	994	793
556	996	792
557	998	791
558	1000	789
559	1037	815
560	1040	813
561	1042	812
562	1044	811
563	1047	809
564	1049	808
565	1052	806
566	1054	805
567	1058	805
568	1060	803
569	1062	801
570	1063	799
571	1065	797
572	1067	795
573	1068	793
574	1085	802
575	1087	800
576	1088	798
577	1090	795
578	1091	793
579	1093	791
580	1094	789
581	1096	787
582	1097	785
583	1099	783
584	1100	780
585	1102	778
586	1104	776
587	1105	774
588	1107	772
589	1108	770
590	1109	768
591	1111	766
592	1112	763
593	1114	761
594	1115	759
595	1117	757
596	1118	755
597	1120	753
598	1121	751
599	1123	749
600	1125	746
601	1126	744
602	1127	742
603	1129	740
604	1131	738
605	1132	736
606	1135	735
607	1137	733
608	1138	731
609	1140	728
610	1141	726
611	1143	724
612	1144	722
613	1145	720
614	1147	718
615	1148	716
616	1150	714
617	1152	712
618	1153	709
619	1154	707
620	1155	705
621	1157	703
622	1158	701
623	1159	698
624	1161	696
625	1162	694
626	1163	692
627	1165	690
628	1167	688
629	1168	686
630	1169	684
631	1171	681
632	1172	679
633	1173	677
634	1174	675
635	1176	673
636	1177	670
637	1178	668
638	1179	666
639	1181	664
640	1182	662
641	1183	660
642	1185	657
643	1186	655
644	1187	653
645	1188	651
646	1190	649
647	1191	647
648	1192	644
649	1193	642
650	1195	640
651	1196	638
652	1197	636
653	1199	634
654	1200	632
655	1202	630
656	1203	628
657	1205	626
658	1206	624
659	1208	622
660	1209	620
661	1210	618
662	1212	616
663	1214	614
664	1215	612
665	1217	610
666	1218	608
667	1219	606
668	1221	604
669	1223	602
670	1224	600
671	1226	598
672	1228	597
673	1230	595
674	1231	593
675	1233	591
676	1234	589
677	1236	587
678	1237	585
679	1239	583
680	1240	581
681	1242	579
682	1244	577
683	1246	575
684	1247	573
685	1249	571
686	1250	569
687	1252	568
688	1253	566
689	1255	564
690	1256	562
691	1258	560
692	1260	558
693	1261	556
694	1263	554
695	1264	552
696	1266	550
697	1267	548
698	1269	546
699	1270	544
700	1272	542
701	1274	540
702	1275	539
703	1277	537
704	1278	535
705	1280	533
706	1281	531
707	1283	529
708	1284	527
709	1286	525
710	1288	523
711	1289	521
712	1291	519
713	1292	517
714	1294	515
715	1295	513
716	1297	512
717	1298	510
718	1300	508
719	1301	506
720	1303	504
721	1305	502
722	1306	500
723	1308	498
724	1310	496
725	1311	495
726	1313	493
727	1314	491
728	1316	489
729	1317	487
730	1319	485
731	1320	483
732	1322	481
733	1324	479
734	1325	478
735	1327	476
736	1329	474
737	1330	472
738	1332	470
739	1333	468
740	1334	466
741	1336	464
742	1338	462
743	1339	461
744	1341	459
745	1342	457
746	1344	455
747	1346	453
748	1347	451
749	1348	449
750	1350	447
751	1352	445
752	1353	444
753	1355	442
754	1356	440
755	1358	438
756	1359	436
757	1361	434
758	1362	432
759	1364	430
760	1365	428
761	1367	427
762	1369	425
763	1370	423
764	1372	421
765	1373	419
766	1375	417
767	1376	415
768	1378	413
769	1379	412
770	1380	410
771	1381	408
772	1383	406
773	1384	404
774	1386	402
775	1387	400
776	1388	398
777	1389	396
778	1390	394
779	1392	392
